Entity,Code,Day,share_doses_used
Alaska,,2021-06-04,76
Alaska,,2021-06-05,75.9
Alaska,,2021-06-06,76.2
Alaska,,2021-06-07,76.5
Alaska,,2021-06-08,76.1
Alaska,,2021-06-09,76.1
Alaska,,2021-06-10,76.4
Alaska,,2021-06-11,76.6
Alaska,,2021-06-12,76.8
Alaska,,2021-06-13,76.9
Alaska,,2021-06-14,77.10000000000001
Alaska,,2021-06-15,77
Alaska,,2021-06-16,77.2
Alaska,,2021-06-17,77.10000000000001
Alaska,,2021-06-18,77.2
Alaska,,2021-06-19,77.4
Alaska,,2021-06-20,77.5
Alaska,,2021-06-21,77.7
Alaska,,2021-06-22,77.5
American Samoa,ASM,2021-01-12,19.900000000000002
American Samoa,ASM,2021-01-13,24.2
American Samoa,ASM,2021-01-14,27.900000000000002
American Samoa,ASM,2021-01-15,21
American Samoa,ASM,2021-01-19,25.8
American Samoa,ASM,2021-01-20,28.799999999999997
American Samoa,ASM,2021-01-21,30.7
American Samoa,ASM,2021-01-22,35.6
American Samoa,ASM,2021-01-23,37
American Samoa,ASM,2021-01-24,43.6
American Samoa,ASM,2021-01-25,43.6
American Samoa,ASM,2021-01-26,45.1
American Samoa,ASM,2021-01-27,49.2
American Samoa,ASM,2021-01-28,49.2
American Samoa,ASM,2021-01-29,53.800000000000004
American Samoa,ASM,2021-01-30,53.800000000000004
American Samoa,ASM,2021-01-31,53.800000000000004
American Samoa,ASM,2021-02-01,58.3
American Samoa,ASM,2021-02-02,58.3
American Samoa,ASM,2021-02-03,60
American Samoa,ASM,2021-02-04,38.2
American Samoa,ASM,2021-02-05,40.8
American Samoa,ASM,2021-02-06,41.6
American Samoa,ASM,2021-02-07,41.6
American Samoa,ASM,2021-02-08,41.6
American Samoa,ASM,2021-02-09,43.1
American Samoa,ASM,2021-02-10,45.2
American Samoa,ASM,2021-02-11,45.9
American Samoa,ASM,2021-02-12,51
American Samoa,ASM,2021-02-13,52.2
American Samoa,ASM,2021-02-14,52.2
American Samoa,ASM,2021-02-16,54.7
American Samoa,ASM,2021-02-17,55.2
American Samoa,ASM,2021-02-18,55.2
American Samoa,ASM,2021-02-19,55.2
American Samoa,ASM,2021-02-20,60.199999999999996
American Samoa,ASM,2021-02-21,63.800000000000004
American Samoa,ASM,2021-02-22,63.9
American Samoa,ASM,2021-02-23,63.9
American Samoa,ASM,2021-02-24,67
American Samoa,ASM,2021-02-25,67
American Samoa,ASM,2021-02-26,69.1
American Samoa,ASM,2021-02-27,69.1
American Samoa,ASM,2021-02-28,69.1
American Samoa,ASM,2021-03-01,69.1
American Samoa,ASM,2021-03-02,71.6
